,name,Latitude,Longitude
0,"10.007,13.7916",10.007,13.7916
1,"10.023,13.429",10.023,13.429
2,"10.039,13.3247",10.039,13.3247
3,"10.039,13.5609",10.039,13.5609
4,"10.077,13.7092",10.077,13.7092
5,"10.131,13.9619",10.131,13.9619
6,"10.169,13.841",10.169,13.840999999999998
7,"9.406,13.462",9.406,13.462
8,"9.4872,13.2697",9.4872,13.2697
9,"9.5035,13.8081",9.5035,13.808099999999998
10,"9.5089,13.9399",9.5089,13.9399
11,"9.5089,14.0717",9.5089,14.071700000000002
12,"9.5143,13.1104",9.5143,13.1104
13,"9.5143,13.4016",9.5143,13.4016
14,"9.5143,13.5499",9.5143,13.5499
15,"9.5143,13.6927",9.5143,13.6927
16,"9.536,14.0717",9.536,14.071700000000002
17,"9.5739,13.2203",9.5739,13.2203
18,"9.5739,13.9179",9.5739,13.9179
19,"9.5902,13.7641",9.5902,13.7641
20,"9.6173,13.5938",9.6173,13.593800000000002
21,"9.6281,13.3137",9.6281,13.3137
22,"9.6281,13.44",9.6281,13.44
23,"9.6497,13.9728",9.6497,13.9728
24,"9.6606,13.2697",9.6606,13.2697
25,"9.7093,13.819",9.7093,13.819
26,"9.7147,13.6542",9.7147,13.6542
27,"9.7201,13.4785",9.7201,13.478499999999999
28,"9.8122,13.3137",9.8122,13.3137
29,"9.8555,13.407",9.8555,13.407
30,"9.8988,14.0772",9.8988,14.0772
31,"9.9366,13.5993",9.9366,13.5993
32,"9.9637,13.9509",9.9637,13.9509
